driverId,week,hours-logged,miles-logged
949,47,67,1500
432,13,62,4000
308,50,51,1300
312,3,70,1400
373,3,64,1800
82,33,63,100
990,50,57,2100
486,5,74,1700
689,21,50,2000
238,42,55,2900
557,7,68,700
252,20,61,2400
493,4,63,3500
77,7,74,3200
654,12,57,800
217,22,50,1500
214,40,70,600
212,9,67,3300
608,4,80,1300
639,11,54,1000
965,51,70,600
645,27,71,700
283,48,61,1500
227,5,69,2500
558,30,63,2500
31,24,50,2400
37,25,77,2400
905,30,58,700
735,46,74,3900
447,33,50,0
800,5,59,3600
552,39,62,0
31,44,55,3800
614,42,52,1200
750,29,63,100
234,26,80,3400
735,41,74,2700
532,7,56,4000
739,29,74,300
109,49,75,3400
772,39,67,3000
262,23,54,4000
47,20,55,1900
221,4,69,2200
72,39,61,1700
743,31,73,3900
965,45,73,3400
875,26,52,3200
371,29,57,1200
923,13,75,1500
453,19,64,200
46,15,60,2700
214,28,58,100
739,4,65,2200
676,12,64,2000
1002,50,72,3700
714,22,66,3000
731,43,72,1600
969,26,78,3400
836,21,74,200
405,13,75,600
235,7,75,3700
892,19,75,2200
414,6,60,3200
115,19,68,2500
221,18,69,3600
688,12,62,2100
385,38,68,3200
822,7,59,400
336,9,64,2700
100,6,72,2900
177,26,52,0
815,15,69,0
948,9,63,1500
311,31,62,2400
739,32,52,600
82,30,67,1600
534,9,59,3200
914,22,61,3200
72,49,60,3900
695,23,61,3400
481,21,78,3500
113,13,68,1200
892,52,77,1900
336,1,50,3800
474,44,68,2400
177,13,76,500
380,9,69,3000
779,37,72,800
862,49,68,300
750,24,64,400
165,22,61,700
675,9,72,3600
507,39,55,3600
810,23,55,800
409,28,72,3300
627,5,62,400
571,50,70,700
782,50,76,1100
48,35,73,500
503,38,55,3500
958,21,61,300
789,30,58,200
631,33,63,2400
530,3,65,1800
203,22,53,2900
392,20,73,700
65,46,58,0
966,1,70,2100
640,23,52,2100
533,32,79,3600
216,23,58,3300
523,23,70,900
182,25,65,200
201,18,80,3600
121,4,76,3500
49,26,73,100
888,5,56,0
479,34,63,3200
684,28,66,600
491,45,67,400
236,36,73,600
235,41,77,3400
994,29,56,3900
35,10,77,1200
13,25,64,1200
267,40,71,1600
146,30,75,2900
446,22,56,3500
509,26,78,1200
882,33,80,1400
424,9,74,1800
341,27,52,500
985,17,63,500
788,25,62,2300
300,2,57,3400
231,1,71,3200
494,42,60,4000
817,49,57,800
901,20,65,2600
60,40,60,1500
693,29,55,900
533,34,80,2500
976,49,55,600
770,49,51,3200
621,2,52,3800
635,31,69,1700
951,22,66,1700
71,50,50,2900
186,48,56,1200
725,10,65,3600
407,11,71,1900
52,20,51,2800
33,27,53,2300
855,25,55,3300
413,12,54,200
652,48,51,2800
71,47,74,1700
100,9,68,2600
340,5,55,200
868,50,61,1500
101,22,52,2100
301,17,57,3300
502,14,65,0
408,34,56,3200
292,51,75,1500
818,36,56,400
919,14,70,1600
327,16,52,900
326,16,61,2700
234,44,57,2600
197,5,70,3000
852,23,74,2200
160,25,78,3000
142,48,76,2400
724,40,50,300
832,48,74,1800
844,45,75,3600
429,39,79,1000
541,21,78,2600
87,21,78,2000
533,31,70,600
57,29,67,1000
985,39,60,3300
861,10,67,3300
110,10,70,3800
429,15,75,2000
118,42,76,1700
567,28,75,3500
150,18,51,0
27,21,51,1200
897,41,57,3200
92,41,60,3700
857,3,54,1900
550,5,51,400
795,40,61,1800
53,28,67,1100
381,33,63,1400
164,23,64,1400
886,12,61,2500
379,9,54,1300
653,2,74,2600
439,27,64,3300
934,31,73,300
144,20,52,3100
193,5,54,800
321,10,73,400
71,51,58,3500
999,15,53,800
232,9,77,1700
653,46,52,1900
95,19,75,2300
901,11,51,300
547,38,70,2200
414,24,65,700
836,41,57,1100
505,50,72,1600
189,32,76,2900
490,14,69,2900
271,13,70,400
456,29,62,2100
468,48,51,900
997,43,73,1400
962,20,54,2300
668,40,57,2100
998,39,57,1900
479,24,65,2700
132,30,60,1700
914,6,53,2900
77,48,62,1900
504,38,54,2100
561,37,58,3900
815,6,51,3900
616,46,69,2700
390,2,59,2900
844,34,67,3000
130,47,75,2500
156,41,80,1600
283,32,63,1600
610,11,63,2600
970,19,77,2000
647,39,53,1200
377,43,77,800
743,8,80,600
601,28,51,4000
746,49,50,2200
345,3,73,3600
36,42,72,2300
497,11,69,2700
896,41,75,2300
947,30,76,2500
961,10,76,3400
244,43,66,2400
714,5,53,2700
797,37,72,1000
28,43,77,1800
617,45,69,900
217,4,78,3100
776,3,69,3300
675,22,65,1000
962,19,68,100
150,24,60,3100
326,52,70,1400
812,8,65,3500
570,12,65,1900
853,18,68,3100
776,13,79,1100
38,48,55,4000
150,33,53,100
35,16,80,3200
292,44,77,3900
590,24,51,400
944,33,65,800
512,49,67,1700
911,12,58,2000
96,31,51,3800
491,43,56,2700
139,8,71,2900
818,15,57,2500
21,19,59,2200
445,32,50,600
442,39,57,2100
177,20,62,1800
618,38,58,3200
69,9,73,1300
153,4,69,3300
605,48,69,0
800,21,53,400
313,7,51,2100
680,37,55,2000
193,3,57,3300
448,42,53,1800
695,39,58,500
628,6,67,1500
932,23,72,2500
226,31,74,2400
342,18,61,2400
34,50,57,100
519,10,66,3500
790,23,64,2400
523,47,66,1800
409,44,71,0
965,45,69,2000
367,36,53,3100
326,33,75,1300
316,42,52,900
56,19,59,3800
98,42,67,4000
831,8,78,3200
284,23,78,0
534,23,70,3700
121,40,53,2700
870,24,66,500
233,20,75,1400
331,27,63,200
693,42,60,600
436,31,77,2100
280,28,63,2800
1004,17,70,3700
110,41,64,4000
948,16,64,200
681,25,64,200
56,43,64,400
925,11,67,1600
171,19,57,1000
400,52,59,500
998,22,66,3500
87,5,51,500
658,23,63,1500
436,16,57,1800
224,1,61,3700
943,7,72,2100
316,49,65,1700
1003,1,54,1400
731,52,66,1700
922,15,71,4000
910,24,70,400
646,33,65,3100
992,3,61,3800
498,15,77,1600
716,15,62,1500
523,12,63,500
599,3,79,200
102,43,55,3500
500,24,52,900
406,45,63,1200
592,39,55,800
32,45,63,300
420,25,78,3800
14,5,64,500
739,23,76,2800
905,14,69,2500
770,11,63,3400
481,25,71,1700
207,15,61,900
392,10,51,2600
249,50,74,1300
626,50,56,2100
796,1,79,2100
292,14,80,2200
20,52,51,1300
179,47,50,2400
883,3,72,3800
426,33,76,3800
485,35,50,1200
860,51,56,100
868,33,72,3900
903,52,57,100
683,40,70,700
967,5,54,700
388,33,52,3100
141,31,51,2800
972,31,60,100
638,49,75,3700
207,25,73,1000
905,41,73,1600
695,45,65,1200
509,41,78,0
24,25,76,3900
333,13,78,2500
675,26,69,3500
882,49,60,1100
821,6,63,3500
113,7,76,1900
88,25,58,2700
10,33,78,4000
959,34,58,500
324,32,52,3500
695,17,80,3100
68,37,62,1300
608,41,50,3800
214,36,66,100
881,14,79,3500
613,15,68,600
634,43,68,3300
808,38,80,3400
656,43,80,1800
310,26,60,3900
830,19,77,1100
97,28,51,3000
266,15,65,600
217,5,63,3700
239,39,57,3400
584,24,64,600
395,2,54,3700
434,2,70,2900
657,1,64,1900
152,30,64,1200
187,6,79,1900
839,14,53,2800
26,7,64,2600
967,32,60,3700
694,10,77,3900
382,28,50,3800
719,25,72,3900
131,11,58,300
239,35,52,1500
383,20,50,1200
774,9,73,500
235,19,68,3300
484,8,64,1000
558,1,59,1800
1008,8,68,1000
251,28,52,3800
951,1,66,200
134,12,64,2600
505,12,78,900
381,25,68,1200
99,8,70,1400
471,23,67,2100
108,6,74,600
465,41,54,2200
639,13,52,3600
49,2,71,1400
327,48,78,2700
652,4,64,3000
1000,47,52,1000
277,6,58,2500
233,34,53,1200
661,25,57,1100
791,10,71,1200
786,12,51,3700
421,19,72,2200
577,48,70,3900
630,37,67,1300
896,49,54,2500
581,9,61,3800
393,39,56,1400
134,24,71,1200
773,7,67,1000
242,22,58,3900
626,44,52,3600
508,35,61,2400
367,6,71,2200
280,6,80,4000
24,7,71,3200
206,38,72,1400
168,51,59,3300
784,30,55,800
683,48,80,200
316,2,70,500
389,38,69,2000
620,41,75,2900
37,3,75,2800
385,42,57,1300
405,38,56,100
518,24,71,3400
811,24,52,1300
345,9,60,1700
750,39,70,3500
1001,36,58,2100
549,13,75,200
494,20,63,1300
398,14,60,2300
870,36,68,3800
216,3,68,1400
229,38,56,1300
949,24,66,1500
551,4,56,1900
423,11,64,2600
884,52,59,3100
149,21,61,2500
39,33,67,1700
307,16,71,2400
55,27,72,200
801,44,76,3000
756,34,80,3100
948,2,73,3300
103,16,53,500
122,10,50,2600
807,11,80,2000
397,17,58,1500
791,28,67,1700
292,23,75,800
894,41,70,600
484,29,67,3900
811,37,73,900
575,11,60,2600
340,34,76,200
622,21,63,100
181,23,80,3100
322,6,80,800
727,39,57,3500
537,2,72,2100
61,47,58,1900
796,46,57,2200
226,22,78,2000
952,21,55,1400
650,27,62,1700
939,13,74,0
89,35,75,400
121,41,75,4000
814,3,61,2800
867,16,78,2400
553,29,55,300
318,15,80,3800
725,24,57,3100
481,49,58,3300
194,45,77,2700
961,10,66,3300
246,37,56,3300
784,1,59,3900
797,22,52,2600
65,45,60,2600
311,1,75,100
293,26,61,900
775,2,79,1000
741,3,57,300
921,22,78,3200
252,44,64,3600
340,8,59,2700
316,3,65,3500
311,36,71,2800
54,42,51,2400
245,33,72,1300
855,44,60,1400
757,24,75,1600
504,46,65,3500
323,32,60,1100
965,11,71,200
960,31,57,2200
168,18,71,4000
48,8,75,3200
836,13,64,1700
92,14,74,100
892,46,80,1600
592,52,77,2100
379,15,65,3100
455,6,78,3500
365,45,68,2800
416,31,80,3400
916,42,60,4000
563,7,51,0
379,9,69,0
321,25,55,3600
377,32,58,2500
248,38,50,2700
478,41,60,2200
646,48,64,2400
251,19,61,2300
388,33,58,3100
264,23,66,2300
148,20,75,1100
991,20,76,1400
142,21,56,1000
924,13,78,1700
198,46,66,3300
415,8,56,3600
131,25,70,600
293,4,77,3900
887,9,52,3400
384,21,65,2700
879,45,74,100
268,35,71,1000
252,16,80,1500
38,29,74,1000
65,50,63,3600
476,36,79,4000
756,12,69,3700
85,23,70,3400
168,31,66,2000
1009,37,69,1500
959,44,54,2000
995,38,52,3000
551,3,54,300
552,40,73,1600
493,32,52,1700
780,46,80,3200
611,11,73,200
781,2,74,700
802,21,61,2200
113,41,79,100
329,38,53,2700
596,30,59,3100
562,18,77,4000
817,46,75,700
336,35,53,4000
767,29,78,3200
49,34,67,3500
291,40,51,1800
27,18,62,1100
821,21,62,3300
438,31,80,700
759,49,64,400
392,46,79,1700
240,42,58,1900
930,13,54,1100
243,32,53,2100
410,1,76,3600
1005,16,65,1100
997,49,80,800
283,10,63,1300
416,32,52,2700
978,45,59,3600
296,36,69,300
210,16,63,2500
266,27,59,2800
47,30,72,200
303,17,50,600
48,31,73,800
909,29,55,2200
162,15,79,2700
846,43,73,3100
157,39,55,1100
262,34,55,3500
154,27,65,3100
630,7,78,800
13,17,66,3700
884,37,75,2800
849,11,68,1400
371,29,50,1500
453,31,60,1000
258,39,68,3200
270,33,63,3800
407,44,64,1800
79,10,63,2200
373,34,68,1700
342,20,71,2400
712,8,78,1600
979,40,64,500
801,2,74,400
539,40,59,500
891,44,70,2100
318,51,72,1100
123,38,59,1800
672,18,57,1200
412,4,59,4000
703,22,64,100
769,29,63,2800
577,49,68,2900
99,45,52,200
451,15,64,2300
701,9,51,3800
735,23,62,3100
821,44,80,2100
74,45,69,1300
579,50,58,2600
727,24,70,3500
137,8,76,3400
370,23,67,3000
314,22,57,900
817,7,66,700
296,14,53,3500
786,14,70,700
925,43,78,800
303,37,57,2900
502,33,69,800
427,37,76,3300
84,50,51,300
799,42,75,2500
522,19,52,3300
511,10,60,2000
10,30,72,700
982,40,77,2100
394,8,56,2000
43,5,53,2700
736,35,71,200
550,28,54,3200
616,52,57,3300
805,49,55,4000
390,25,67,500
39,31,63,200
133,3,62,2600
478,37,59,2000
959,7,73,3200
361,16,75,1200
945,12,57,100
399,15,78,3100
194,47,74,3600
449,13,63,2900
262,14,76,300
963,38,80,900
134,38,74,3200
748,16,71,1700
412,5,65,2100
462,43,77,2500
272,49,69,1000
641,21,61,0
336,7,66,2500
920,31,74,3100
355,13,75,3900
299,34,79,1300
372,25,71,3700
972,9,61,3700
868,34,69,1700
909,41,56,3900
153,41,70,1500
266,9,67,400
251,39,74,2600
593,22,63,3700
49,46,69,2600
649,3,78,700
40,25,66,1000
942,12,57,3100
1007,9,65,1600
670,16,71,3200
488,24,53,300
664,25,58,0
868,6,71,3300
599,26,70,1200
79,45,68,3500
914,7,52,3800
171,52,76,2100
141,37,64,1200
885,45,78,300
807,23,64,2200
584,27,80,1600
18,8,75,3500
39,44,78,2000
232,28,70,0
743,7,69,2800
862,35,78,2900
229,48,66,1100
583,28,50,2200
741,15,63,1600
487,15,61,2400
295,10,71,1800
598,35,61,2400
992,17,63,2100
240,1,75,3700
871,11,77,0
345,23,61,3400
803,39,76,2300
124,21,57,2100
177,37,62,500
949,44,72,1600
676,30,66,2200
314,20,71,3600
102,15,79,1100
199,37,71,1800
582,33,65,1600
43,51,71,4000
691,31,59,900
325,52,54,2300
538,33,64,700
1000,24,58,600
118,24,73,1500
280,13,56,2100
857,44,77,1400
360,17,71,400
459,19,76,1500
265,41,52,1900
126,27,58,2700
271,42,52,3400
386,45,72,3900
890,38,75,3200
910,12,70,1700
722,14,69,3800
97,35,74,0
75,31,61,1400
808,26,59,3800
271,27,52,1100
518,20,53,3000
684,22,70,2000
65,43,51,1000
721,32,64,1500
513,40,63,3400
922,28,64,1500
816,36,54,1400
84,24,70,500
541,5,57,3500
869,2,65,3400
722,52,71,100
56,20,63,800
355,15,65,1000
462,37,62,2900
294,51,72,1500
879,35,51,1800
66,10,55,2000
566,21,55,1300
607,4,67,3600
733,16,60,100
481,38,63,1400
195,47,54,1600
427,29,55,600
830,14,64,3700
847,28,73,3900
456,24,69,2900
196,37,52,200
47,50,54,1700
683,6,58,2900
952,1,61,3600
717,17,61,100
820,34,61,3000
394,12,66,3200
564,14,62,3400
620,5,73,2200
955,36,80,100
223,3,68,1200
85,40,72,2500
289,45,74,2200
569,19,65,2300
530,29,72,3100
422,45,53,500
353,26,66,3500
356,42,67,3400
787,50,69,2400
281,28,73,500
528,2,57,2700
405,41,71,900
749,46,71,2100
933,39,67,3900
295,23,55,1900
764,38,56,4000
343,11,58,2000
606,6,55,3100
492,42,58,2700
57,10,80,1900
939,22,72,800
480,39,65,900
437,43,67,3900
844,45,58,3800
778,24,68,1800
224,41,64,2000
754,49,51,3300
958,3,67,2300
716,36,51,1100
505,24,74,2400
410,32,67,3800
160,39,68,3600
981,9,73,3400
144,9,70,2400
927,48,61,3800
360,31,65,3000
72,39,57,3800
507,23,68,100
251,25,57,2000
982,27,57,2400
155,8,61,2200
590,43,64,4000
535,18,72,4000
517,10,66,2500
777,1,65,1700
790,50,54,2300
418,50,62,1900
188,18,74,2300
320,41,71,2300
450,50,58,2400
916,13,76,1000
907,7,72,1300
482,1,54,700
902,29,51,2400
847,11,79,2700
830,31,52,1500
667,12,56,3300
627,40,79,500
146,26,50,2300
698,47,68,1300
684,45,64,2600
840,17,61,3600
742,27,66,200
45,14,67,3600
151,30,72,2900
787,44,56,700
845,34,59,300
604,42,51,3100
339,26,79,1500
673,29,72,3300
706,49,61,3700
522,31,67,600
150,46,51,2100
379,43,79,2100
172,20,68,2900
721,11,77,600
666,38,76,3800
75,20,74,800
362,25,69,2800
233,47,54,1500
731,33,71,2400
17,22,66,500
616,45,65,3800
331,39,70,1200
722,30,63,3600
905,17,70,2900
971,14,52,400
136,3,77,1600
313,48,72,1600
190,41,58,1000
340,30,57,900
357,39,63,2800
699,49,61,300
963,45,60,2900
735,12,50,3800
271,1,65,3800
124,40,59,2800
750,5,74,3300
550,12,72,1100
953,46,53,3100
89,11,62,1100
11,34,51,700
696,14,57,2800
222,36,70,100
987,21,68,1400
376,38,72,100
357,15,66,500
142,14,50,2100
465,31,69,3800
567,7,69,2900
954,5,74,2400
872,12,55,200
799,30,57,800
411,13,75,1300
822,23,58,500
51,37,78,2600
922,27,80,1800
383,45,78,400
608,44,58,2400
263,20,63,1700
625,35,80,1500
218,39,66,1200
617,19,64,1900
953,46,74,2800
143,48,76,300
909,46,50,300
896,27,77,3400
189,32,60,3700
198,31,56,700
788,9,71,1000
952,21,73,1200
116,5,52,100
567,44,64,1400
881,12,52,1200
403,26,67,600
55,20,67,300
293,43,70,100
114,44,72,2000
861,52,62,800
775,32,74,0
965,43,75,800
282,20,70,3900
43,33,65,400
421,15,56,3400
209,45,80,3700
916,35,61,3600
540,45,80,900
